ReNamn;Företag;Gruppnamn;RE;StartHour;EndHour;StartMonth;EndMonth;Hur de tar ut abonnerad effekt/höglast;Källa;Kommentar
REL00056;Ellevio AB;;REL00056;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00057;Ellevio AB;;REL00057;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00058;Ellevio AB;;REL00058;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00059;Ellevio AB;;REL00059;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00060;Ellevio AB;;REL00060;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00108;Ellevio AB;;REL00108;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00114;Ellevio AB;;REL00114;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00134;Ellevio AB;;REL00134;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00176;Ellevio AB;;REL00176;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00192;Ellevio AB;;REL00192;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00507;Ellevio AB;Hälsningland/Bollnäs, Bergvik;REL00507Hälsningland/Bollnäs, Bergvik;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00507;Ellevio AB;Ockelbo;REL00507Ockelbo;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00507;Ellevio AB;Hudiksvall;REL00507Hudiksvall;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00507;Ellevio AB;Hälsningland;REL00507Hälsningland;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00507;Ellevio AB;S.Norrland;REL00507S.Norrland;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Orust/Tjörn, Strömstad;REL00509Orust/Tjörn, Strömstad;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Hunnebo (Sotenäs kommun);REL00509Hunnebo (Sotenäs kommun);6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Halland och Munkedal;REL00509Halland och Munkedal;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Halland (Kungsbacka) Munkedal;REL00509Halland (Kungsbacka) Munkedal;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Hunnebo/Sotenäs;REL00509Hunnebo/Sotenäs;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Orust-Tjörn, Strömstad/Tanum;REL00509Orust-Tjörn, Strömstad/Tanum;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;Västkusten;REL00509Västkusten;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00509;Ellevio AB;;REL00509;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;Vansbro;REL00510Vansbro;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;Värmland, Närke och Västergötland inkl. Tiveden;REL00510Värmland, Närke och Västergötland inkl. Tiveden;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;Ljusnarsberg;REL00510Ljusnarsberg;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;;REL00510;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;Värmland-Närke-Västergötland;REL00510Värmland-Närke-Västergötland;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00510;Ellevio AB;Västra Svealand-Västergötland ;REL00510Västra Svealand-Västergötland ;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00582;Ellevio AB;;REL00582;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00608;Ellevio AB;Stockholm;REL00608Stockholm;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00608;Ellevio AB;Lidingö;REL00608Lidingö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00608;Ellevio AB;Täby;REL00608Täby;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00609;Ellevio AB;Västra Svealand-Västergötland ;REL00609Västra Svealand-Västergötland ;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00609;Ellevio AB;Nor-Segerstad;REL00609Nor-Segerstad;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00851;Ellevio AB;;REL00851;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00851;Ellevio AB;S.Norrland;REL00851S.Norrland;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00851;Ellevio AB;Norra Dalarna;REL00851Norra Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00860;Ellevio AB;S.Norrland;REL00860S.Norrland;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00860;Ellevio AB;Norra Dalarna;REL00860Norra Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00860;Ellevio AB;Norra Vansbro;REL00860Norra Vansbro;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00860;Ellevio AB;Södra Norrland och Dalarna;REL00860Södra Norrland och Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00861;Ellevio AB;Nor-Segerstad;REL00861Nor-Segerstad;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00861;Ellevio AB;Västra Svealand-Västergötland ;REL00861Västra Svealand-Västergötland ;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00861;Ellevio AB;;REL00861;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00884;Ellevio AB;Stockholm;REL00884Stockholm;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00884;Ellevio AB;Ekerö;REL00884Ekerö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00884;Ellevio AB;Stockholm inkl. Ekerö;REL00884Stockholm inkl. Ekerö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00966;Ellevio AB;;REL00966;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL01008;Ellevio AB;F.d. Nynäshamn;REL01008F.d. Nynäshamn;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL01008;Ellevio AB;Södra Norrland och Dalarna;REL01008Södra Norrland och Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL01008;Ellevio AB;Västra Svealand;REL01008Västra Svealand;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL01008;Ellevio AB;Stockholm inkl. Ekerö;REL01008Stockholm inkl. Ekerö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03008;Ellevio AB;Stockholm inkl. Ekerö;REL03008Stockholm inkl. Ekerö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03008;Ellevio AB;F.d. Nynäshamn;REL03008F.d. Nynäshamn;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03008;Ellevio AB;Västra Svealand;REL03008Västra Svealand;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03008;Ellevio AB;f.d. Elverket Vallentuna;REL03008f.d. Elverket Vallentuna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03008;Ellevio AB;Södra Norrland och Dalarna;REL03008Södra Norrland och Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;Stockholm inkl. Ekerö;REL03017Stockholm inkl. Ekerö;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;F.d. Nynäshamn;REL03017F.d. Nynäshamn;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;Västra Svealand;REL03017Västra Svealand;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;f.d. Elverket Vallentuna;REL03017f.d. Elverket Vallentuna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;Södra Norrland och Dalarna;REL03017Södra Norrland och Dalarna;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03017;Ellevio AB;Fd Hamra Besparingsskog;REL03017Fd Hamra Besparingsskog;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03035;Ellevio AB;Mellansverige;REL03035Mellansverige;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03035;Ellevio AB;Edsbyn;REL03035Edsbyn;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL03035;Ellevio AB;Västkusten;REL03035Västkusten;6;22;11;3;Lågspänning 0,4 kV(L04s): Tar ut en månadseffektavgift. Sen en höglasteffektavgift under de dagar som är höglasttid (101 kr/kW) ;https://www.ellevio.se/globalassets/content/priserabonnemang-pdf/2025/lokalnat/effekt_250101.pdf;
REL00202;Elverket Vallentuna Elnät AB;;REL00202;-;-;-;-;;;Har upgått i Ellevio
REL00031;Emmaboda Elnät AB;;REL00031;-;-;-;-;"Det står inte hur de bedömmer abonnerad effekt; den är på månatlig basis, men inte om de tar högsta toppen eller inte. Jag tänker anta att de tar den månatliga toppen och säger att den är den månatliga abonnerade effekten. De har ingen höglast.";https://www.emmabodaenergi.se/elnat/vad-kostar-det.html;
REL00034;Envikens Elnät AB;;REL00034;-;-;-;-;;;Har uppgått i Falu Energi 2019
REL00035;Eskilstuna Energi och Miljö Elnät AB;;REL00035;7;19;11;3;Vid höglasttid beräknas effektavgift på ett medel av de tre högsta timvärdena från tre olika dagar under månaden.;https://www.eem.se/privat/elnat/effektavgift;
REL00037;Falbygdens Energi Nät AB;;REL00037;7;19;11;3;Taxa lågspänningsanslutning: Tar ut höglastavgift kr/kW/mån nov-mar 7-19.;https://falbygdensenergi.se/foretag/elnatsavgifter/elnatspriser-foretagskunder;
REL00038;Falkenberg Energi Elnät AB;;REL00038;-;-;11;3;Effektavgift debiteras månadsvis för högsta uttagna medeleffekten per timme under varje enskild månad under året.;https://www.falkenberg-energi.se/wp-content/uploads/2025/05/Natavgift-effektabonnemang-2025-01-01-1.pdf;
REL00039;Falu Elnät AB;;REL00039;7;19;11;3;Effektavgiften baseras endast på de tre heltimmar under månaden då du använder mest effekt. De tar fram ett medelvärde på den effekten.;https://fev.se/el/elnat/effektavgift.html;
REL03015;Falu Elnät AB;;REL03015;7;19;11;3;Effektavgiften baseras endast på de tre heltimmar under månaden då du använder mest effekt. De tar fram ett medelvärde på den effekten.;https://fev.se/el/elnat/effektavgift.html;
REL00040;Filipstad Energinät AB;;REL00040;-;-;-;-;Har ej infört effekttariffer;https://www.filipstadenerginat.se/nyhetsarkiv/angaendeeffekttariff.527.html;
REL00142;Fortum Distribution;;REL00142;-;-;-;-;Har ej infört effekttariffer;;Fortum sålde sin elnätsverksamhet till Ellevio 2015
REL00043;Gislaved Energi Elnät AB;;REL00043;-;-;-;-;"Det står inte hur de bedömmer abonnerad effekt; den är på månatlig basis, men inte om de tar högsta toppen eller inte. Jag tänker anta att de tar den månatliga toppen och säger att den är den månatliga abonnerade effekten. De har ingen höglast.";https://www.gislavedenergi.se/el/elnat/elnatsavgifter/;
REL00945;Gotlands Elnät AB;;REL00945;6;22;11;3;"Månadseffektavgift (kr/ kW,månad) erläggs för varje månad utifrån medelvärdet av de två högsta effektvärdena under månaden, timme i kilowatt (kW), som uppmätts under två av varandra oberoende timmar. Högbelastningsavgift (kr/ kW,månad) erläggs för var och en av månaderna januari,
februari, mars, november och december för högsta uttagen medeleffekt per timme i kilowatt (kW), utifrån medelvärdet av de två högsta effektvärdena under månaden, som uppmätts under två av varandra oberoende timmar, under vardag kl 06-22 under månaden";https://geab.se/elnat/avgift/elnatspriser/;
REL00044;Gotlands Energi AB;;REL00044;6;22;11;3;"Månadseffektavgift (kr/ kW,månad) erläggs för varje månad utifrån medelvärdet av de två högsta effektvärdena under månaden, timme i kilowatt (kW), som uppmätts under två av varandra oberoende timmar. Högbelastningsavgift (kr/ kW,månad) erläggs för var och en av månaderna januari,
februari, mars, november och december för högsta uttagen medeleffekt per timme i kilowatt (kW), utifrån medelvärdet av de två högsta effektvärdena under månaden, som uppmätts under två av varandra oberoende timmar, under vardag kl 06-22 under månaden";https://geab.se/elnat/avgift/elnatspriser/;
REL00172;Graninge Elnät Nord AB;;REL00172;-;-;-;-;;;Köptes av EON 2003
REL00261;Graninge Elnät Nord AB;;REL00261;-;-;-;-;;;Köptes av EON 2003
REL00046;Graninge Enköping Elnät AB;;REL00046;-;-;-;-;;;Köptes av EON 2003
REL00047;Graninge Järfälla Elnät AB;;REL00047;-;-;-;-;;;Köptes av EON 2003
REL00048;Graninge Mälarkraft AB;;REL00048;-;-;-;-;;;Köptes av EON 2003
REL00045;Graninge Roslags Energi AB;;REL00045;-;-;-;-;;;Köptes av EON 2003
REL00049;Grästorps Energi ek. för.;;REL00049;6;22;11;3;"Det står inte hur de bedömmer abonnerad effekt; den är på månatlig basis, men inte om de tar högsta toppen eller inte. Jag tänker anta att de tar den månatliga toppen och säger att den är den månatliga abonnerade effekten. De har ingen höglast.";https://www.grastorpenergi.se/natavgifter2026;
REL00061;Gävle Energi AB;;REL00061;7;21;11;3;Effektavgift, höglasttid, November-mars, vardagar mellan klockan 07 och 21. Uttagen aktiv effekt är medelvärdet av de tre högsta värdena från tre olika dagar under respektive månad. Låglasttid, samma men låglasttid;https://www.gavleenergi.se/foretag/elnat/elnatsavgifter/;
REL00070;Gävle Energi AB;;REL00070;7;21;11;3;Effektavgift, höglasttid, November-mars, vardagar mellan klockan 07 och 21. Uttagen aktiv effekt är medelvärdet av de tre högsta värdena från tre olika dagar under respektive månad. Låglasttid, samma men låglasttid;https://www.gavleenergi.se/foretag/elnat/elnatsavgifter/;
REL00885;Gävle Energi AB;Hedesunda;REL00885Hedesunda;7;21;11;3;Effektavgift, höglasttid, November-mars, vardagar mellan klockan 07 och 21. Uttagen aktiv effekt är medelvärdet av de tre högsta värdena från tre olika dagar under respektive månad. Låglasttid, samma men låglasttid;https://www.gavleenergi.se/foretag/elnat/elnatsavgifter/;
REL00885;Gävle Energi AB;Gävle;REL00885Gävle;7;21;11;3;Effektavgift, höglasttid, November-mars, vardagar mellan klockan 07 och 21. Uttagen aktiv effekt är medelvärdet av de tre högsta värdena från tre olika dagar under respektive månad. Låglasttid, samma men låglasttid;https://www.gavleenergi.se/foretag/elnat/elnatsavgifter/;
REL00885;Gävle Energi AB;;REL00885;7;21;11;3;Effektavgift, höglasttid, November-mars, vardagar mellan klockan 07 och 21. Uttagen aktiv effekt är medelvärdet av de tre högsta värdena från tre olika dagar under respektive månad. Låglasttid, samma men låglasttid;https://www.gavleenergi.se/foretag/elnat/elnatsavgifter/;
